Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  0.00      0.02     0.00       67     0.00     0.00  caml_new_lex_engine
  0.00      0.02     0.00       63     0.00     0.00  camlBytes__extend_1047
  0.00      0.02     0.00       63     0.00     0.00  camlFilename__generic_quote_1008
  0.00      0.02     0.00       61     0.00     0.00  camlMoStack__ord_2996
  0.00      0.02     0.00       58     0.00     0.00  camlArray__loop_1155
  0.00      0.02     0.00       54     0.00     0.00  caml_gc_counters
  0.00      0.02     0.00       53     0.00     0.00  camlString__concat_1033
  0.00      0.02     0.00       49     0.00     0.00  camlFilename__quote_1067
  0.00      0.02     0.00       49     0.00     0.00  camlList__sort_1266
  0.00      0.02     0.00       48     0.00     0.00  camlWeak__find_or_1174
  0.00      0.02     0.00       46     0.00     0.00  caml_array_concat
  0.00      0.02     0.00       45     0.00     0.00  camlFormat__asprintf_1602
  0.00      0.02     0.00       45     0.00     0.00  camlFormat__kfprintf_1572
  0.00      0.02     0.00       43     0.00     0.00  camlGenlex__store_1019
  0.00      0.02     0.00       43     0.00     5.09  camlMoGraph__display_with_feh_5721
  0.00      0.02     0.00       40     0.00     0.00  camlBytes__concat_1081
  0.00      0.02     0.00       39     0.00     0.00  camlArg__parse_dynamic_1134
  0.00      0.02     0.00       38     0.00     0.00  camlFilename__check_suffix_1062
  0.00      0.02     0.00       36     0.00     0.00  camlList__rev_merge_1246
  0.00      0.02     0.00       33     0.00     0.00  camlArray__iteri_1065
  0.00      0.02     0.00       33     0.00     0.00  camlInt64__abs_1035
  0.00      0.02     0.00       32     0.00     0.00  camlList__rev_sort_1325
  0.00      0.02     0.00       27     0.00     0.00  camlBytes__fill_1056
  0.00      0.02     0.00       27     0.00     0.00  camlHashtbl__replace_1264
  0.00      0.02     0.00       25     0.00     2.41  camlMoGraph__validate_6021
  0.00      0.02     0.00       23     0.00     0.00  camlMoSmt__create_vars_1803
  0.00      0.02     0.00       23     0.00     0.00  camlMoSmt__xor_1849
  0.00      0.02     0.00       22     0.00     0.00  camlScanf__scan_digits_1223
  0.00      0.02     0.00       21     0.00     0.00  camlFormat__flush_str_formatter_1434
  0.00      0.02     0.00       21     0.00     0.00  camlFormat__fun_2043
  0.00      0.02     0.00       21     0.00     0.00  caml_alloc_sprintf
  0.00      0.02     0.00       19     0.00     0.00  caml_deserialize_uint_4
  0.00      0.02     0.00       19     0.00     0.00  intern_resize_stack
  0.00      0.02     0.00       18     0.00     0.00  camlStream__get_data_1035
  0.00      0.02     0.00       18     0.00     2.32  camlWeak__fold_1099
  0.00      0.02     0.00       18     0.00     2.32  camlWeak__resize_1142
  0.00      0.02     0.00       18     0.00     0.00  caml_MD5Init
  0.00      0.02     0.00       18     0.00     0.00  caml_gc_quick_stat
  0.00      0.02     0.00       17     0.00     0.00  camlMoGraph__string_of_v_4289
  0.00      0.02     0.00       16     0.00     0.00  camlArray__mapi_1069
  0.00      0.02     0.00       16     0.00     0.00  camlMoGeneration__iter_4471
  0.00      0.02     0.00       16     0.00     0.00  camlMoGraph__f_6024
  0.00      0.02     0.00       16     0.00     0.00  camlMoGraph__fun_8130
  0.00      0.02     0.00       16     0.00     0.00  camlMoSmt__nextiv_1834
  0.00      0.02     0.00       15     0.00     0.00  camlHashtbl__key_index_1077
  0.00      0.02     0.00       15     0.00     0.00  camlScanf__loop_1296
  0.00      0.02     0.00       15     0.00     0.00  camlWeak__fun_1436
  0.00      0.02     0.00       14     0.00     0.00  camlQueue__copy_1034
  0.00      0.02     0.00       14     0.00     0.00  camlSort__merge_1008
  0.00      0.02     0.00       14     0.00     0.00  camlStack__create_1011
  0.00      0.02     0.00       13     0.00     1.96  camlMoGraph__find_6096
  0.00      0.02     0.00       13     0.00     1.61  camlMoGraph__step_6122
  0.00      0.02     0.00       13     0.00     0.00  camlScanf__next_1109
  0.00      0.02     0.00       13     0.00     0.00  camlScanf__next_1126
  0.00      0.02     0.00       13     0.00     0.00  caml_int_as_pointer
  0.00      0.02     0.00       12     0.00     0.00  camlArray__fill_1089
  0.00      0.02     0.00       12     0.00     0.00  camlMoGraph__get_edges_6116
  0.00      0.02     0.00       12     0.00     2.32  camlMoGraph__set_edge_6118
  0.00      0.02     0.00       12     0.00     0.00  caml_marshal_data_size
  0.00      0.02     0.00       12     0.00     0.00  caml_obj_dup
  0.00      0.02     0.00       12     0.00     0.00  caml_obj_tag
  0.00      0.02     0.00       11     0.00     0.00  camlMoGraph__run_6088
  0.00      0.02     0.00       11     0.00     0.00  caml_neg_float
  0.00      0.02     0.00       10     0.00     0.00  camlBuffer__subst_1110
  0.00      0.02     0.00       10     0.00     0.00  camlScanf__skip_spaces_1364
  0.00      0.02     0.00       10     0.00     0.00  caml_array_gather
  0.00      0.02     0.00        9     0.00     0.00  camlFormat__fun_2277
  0.00      0.02     0.00        9     0.00     0.00  camlMoSmt__start_1845
  0.00      0.02     0.00        9     0.00     0.00  camlStream__dump_data_1124
  0.00      0.02     0.00        9     0.00     0.00  camlWeak__find_all_1220
  0.00      0.02     0.00        8     0.00     0.00  camlMoGeneration__process_4467
  0.00      0.02     0.00        8     0.00     0.00  camlMoGraph__is_connected_6114
  0.00      0.02     0.00        8     0.00     0.00  camlMoInstructions__from_string_1834
  0.00      0.02     0.00        8     0.00     0.00  camlMoSmt__prf_1842
  0.00      0.02     0.00        8     0.00     0.00  camlScanf__check_char_1173
  0.00      0.02     0.00        8     0.00     0.00  camlWeak__find_shadow_1197
  0.00      0.02     0.00        8     0.00     0.00  caml_apply13
  0.00      0.02     0.00        8     0.00     0.00  caml_deserialize_block_8
  0.00      0.02     0.00        8     0.00     0.00  caml_deserialize_uint_1
  0.00      0.02     0.00        8     0.00     0.00  caml_hash_mix_intnat
  0.00      0.02     0.00        8     0.00     0.00  caml_modf_float
  0.00      0.02     0.00        7     0.00     0.00  camlCamlinternalFormat__parse_char_set_after_minus_73215
  0.00      0.02     0.00        7     0.00     0.00  camlFormat__fun_2314
  0.00      0.02     0.00        7     0.00     0.00  camlMoStack__xor_2997
  0.00      0.02     0.00        7     0.00     0.00  camlScanf__scan_backslash_1362
  0.00      0.02     0.00        7     0.00     0.00  caml_MD5Final
  0.00      0.02     0.00        7     0.00     0.00  caml_close_channel
  0.00      0.02     0.00        7     0.00     0.00  caml_lazy_make_forward
  0.00      0.02     0.00        7     0.00     0.00  caml_send3
  0.00      0.02     0.00        6     0.00     0.00  camlScanf__token_bool_1180
  0.00      0.02     0.00        6     0.00     0.00  caml_obj_block
  0.00      0.02     0.00        6     0.00     0.00  caml_sys_remove
  0.00      0.02     0.00        5     0.00     0.00  camlBytes__copy_1030
  0.00      0.02     0.00        5     0.00     0.00  camlFormat__format_pp_token_1134
  0.00      0.02     0.00        5     0.00     0.00  camlMoSmt__dup_1816
  0.00      0.02     0.00        5     0.00     0.00  camlScanf__from_string_1105
  0.00      0.02     0.00        5     0.00     0.00  camlScanf__reset_token_1081
  0.00      0.02     0.00        5     0.00     0.00  camlSort__array_1037
  0.00      0.02     0.00        5     0.00     0.00  camlWeak__stats_1233
  0.00      0.02     0.00        4     0.00     3.93  camlMoGraph__run_6129
  0.00      0.02     0.00        4     0.00     0.00  camlScanf__find_start_1348
  0.00      0.02     0.00        4     0.00     0.00  camlScanf__peek_char_1061
  0.00      0.02     0.00        4     0.00     0.00  caml_array_set_float
  0.00      0.02     0.00        4     0.00     0.00  caml_array_sub
  0.00      0.02     0.00        4     0.00     0.00  caml_gt_float
  0.00      0.02     0.00        4     0.00     0.00  caml_input_value_from_block
  0.00      0.02     0.00        4     0.00     0.00  caml_md5_string
  0.00      0.02     0.00        4     0.00     0.00  free_extern_output
  0.00      0.02     0.00        3     0.00     0.00  camlScanf__get_digit_1339
  0.00      0.02     0.00        3     0.00     0.00  camlScanf__scan_close_at_end_1113
  0.00      0.02     0.00        3     0.00     0.00  camlSet__add_1075
  0.00      0.02     0.00        3     0.00     0.00  caml_array_unsafe_set_addr
  0.00      0.02     0.00        3     0.00     0.00  caml_array_unsafe_set_float
  0.00      0.02     0.00        3     0.00     0.00  caml_ml_pos_in
  0.00      0.02     0.00        3     0.00     0.00  recvmmsg_assume_fd_is_nonblocking
  0.00      0.02     0.00        2     0.00     0.00  camlArray__merge_1145
  0.00      0.02     0.00        2     0.00     0.00  camlCamlinternalFormat__fun_74484
  0.00      0.02     0.00        2     0.00     0.00  camlDigest__input_1031
  0.00      0.02     0.00        2     0.00     0.00  camlFormat__advance_loop_1173
  0.00      0.02     0.00        2     0.00     0.00  camlFormat__pp_output_string_1106
  0.00      0.02     0.00        2     0.00     0.00  camlHashtbl__Make_1342
  0.00      0.02     0.00        2     0.00     0.00  camlHashtbl__iter_1135
  0.00      0.02     0.00        2     0.00     0.00  camlHashtbl__stats_1165
  0.00      0.02     0.00        2     0.00     0.00  camlMoGraph__get_parent_edges_6034
  0.00      0.02     0.00        2     0.00     0.00  camlMoInstructions__print_modes_2980
  0.00      0.02     0.00        2     0.00     0.00  camlMoSmt__op_1854
  0.00      0.02     0.00        2     0.00     0.00  camlMoUtils__run_proc_1686
  0.00      0.02     0.00        2     0.00     0.00  camlNativeint__pred_1031
  0.00      0.02     0.00        2     0.00     0.00  camlPervasives__at_exit_1333
  0.00      0.02     0.00        2     0.00     0.00  camlPervasives__exit_1337
  0.00      0.02     0.00        2     0.00     0.00  camlPrintexc__info_1057
  0.00      0.02     0.00        2     0.00     0.00  camlRandom__int64aux_1061
  0.00      0.02     0.00        2     0.00     0.00  camlScanf__fun_4997
  0.00      0.02     0.00        2     0.00     0.00  camlScanf__scan_digits_plus_1218
  0.00      0.02     0.00        2     0.00     0.00  caml_array_append
  0.00      0.02     0.00        2     0.00     0.00  caml_deserialize_sint_4
  0.00      0.02     0.00        2     0.00     0.00  caml_make_float_vect
  0.00      0.02     0.00        2     0.00     0.00  caml_ml_flush_partial
  0.00      0.02     0.00        2     0.00     0.00  caml_ml_output
  0.00      0.02     0.00        2     0.00     0.00  caml_ml_seek_out_64
  0.00      0.02     0.00        2     0.00     0.00  caml_open_descriptor_in
  0.00      0.02     0.00        2     0.00     0.00  caml_sys_open
  0.00      0.02     0.00        2     0.00     0.00  do_write
  0.00      0.02     0.00        1     0.00     0.00  array_map
  0.00      0.02     0.00        1     0.00     0.00  bigstring_really_write_stub
